name,place_id,latitude,longitude,address,rating
LAMWA VETCARE LTD,ChIJm7D15cJLLxgRIZpcRZUxFAY,-1.0428171,37.0666356,"Thika, Kenya",4.7
Medilink Lab And Surgicals,ChIJF3JuNtgRLxgRFPrcHZC6OQA,-1.2882239,36.8274665,"Development House, Nairobi, Kenya Nairobi, Starehe, Kenya",5
Veterinary Dr. Sura,ChIJBQOct2AXLxgRxzLEVLcI25U,-1.2637981,36.7854743,"126 Rhapta Road, Nairobi, Kenya",4.8
PET'S CLINIC & LIVESTOCK VETERINARY SERVICES,ChIJ-eD8Mg5rLxgRonGePb8ggpg,-1.2659433,36.98353,"Kangundo Rd, Nairobi, Kenya",5
Garden Veterinary Services Ltd,ChIJ6635byUWLxgRfLCIV7WSLDM,-1.2231479,36.835974,"No.56 Woodvale Drive, Runda Evergreen off Kiambu Road, Nairobi, Kenya",4.7
Nairobi Veterinary Center,ChIJOfIFzCcRLxgRTrmH3pRcirg,-1.287867,36.827486,"Nairobi, Kenya",4.2
The Animal Clinic Of Nairobi,ChIJzzQqMjI_LxgR6P3mq35qOTs,-1.1573143,36.9242207,"RWVF+3MH, Northern Bypass Rd, Nairobi, Kenya",4.1
Davis and Ghalay Veterinary Clinic,ChIJDxcpJwQXLxgRRrrOKud-SHc,-1.2676519,36.8051446,"Chiromo Ln, Nairobi, Kenya",4.5
Queens Veterinary Clinic,ChIJ48l6uPU9LxgR8ZWGDGS0SuM,-1.2165481,36.8585222,"Kigwa road, Kenya",5
Primehearts Vet Clinic,ChIJMQ0F1ygL4EAR3vGaJ_IDOfs,-1.3245874,36.7088706,"Nairobi, Kenya",4.8
RafikiVets Pet Care,ChIJf5pkE24bLxgRPfTW6qRsNaM,-1.2807389,36.7816864,"Nairobi, Kenya",5
Good Shepherd Veterinary Doctors Clinic,ChIJt5lEortPLxgRxUdnUk2jo9o,-1.2158563,36.8354064,"Four Ways Junction, Northern Bypass Rd, Nairobi, Kenya",4.8
Den Veterinary Clinic,ChIJq8XWCzBBLxgRHzol2jAEtLc,-1.2166062,36.8671499,"QVM8+9V2, Stream Drive, Nairobi, Kenya",5
PawPrints 🐾 Veterinary Clinic,ChIJiXwOXwARLxgRBFE9OaFWbN0,-1.3110695,36.8215606,"21 Mai Mahiu Rd, Nairobi, Kenya",4.8
Rottcher Veterinary Surgery,ChIJEQ79drkELxgRj0SMptEJNpg,-1.3121292,36.7202058,"P.O. Box 24525 Miotoni Rd, Nairobi City, Kenya",4.8
CORAL VETERINARY CLINIC,ChIJMbSSLAAZLxgR88l4Uw73oBM,-1.2243895,36.7677345,"Kinanda Rd, Nairobi, Kenya",5
Sarit Vet Clinic,ChIJx4VTQmsXLxgRQmWfjODGXNs,-1.261237,36.8021612,"Nairobi, Kenya",4.5
Large Animal Clinic,ChIJBw7MmQMZLxgRPAIRw0s8zj4,-1.2531059,36.7313772,"PPWJ+QH2, Nairobi City, Kenya",5
Veterinary Clinic,ChIJx1UlW6EQLxgRYl5CaAb7mKo,-1.2925223,36.7867058,"PQ4P+XMW, Argwings Kodhek Rd, Nairobi, Kenya",3.8
